keys,en,pt_BR,pt
TEST,Test,Teste,Teste
YES,Yes,Sim,Sim
NO,No,Não,Não
EXIT_BUTTON,Exit,Sair,Saída
PROFILE_TOOLTIP,Change profile,Mudar perfil,Mudar perfil
PLAY_BUTTON,Dive,Mergulhar,Mergulhar
PLAY_TOOLTIP,Campaign levels,Níveis da campanha,Níveis da campanha
LEVEL_EDITOR_BUTTON,Create,Criar,Criar
LEVEL_EDITOR_TOOLTIP,Level editor,Editor de níveis,Editor de níveis
EXIT_CONFIRMATION,Are you sure you want to exit the game?,Tem certeza que quer sair do jogo?,Tem certeza de que deseja sair do jogo?
DEFAULT_CONFIRMATION,Are you sure?,Tem certeza?,Tem certeza?
WATERS_COUNTER,Waters: ,Águas: ,Águas:
BOATS_COUNTER,Boats: ,Barcos: ,Barcos:
MISTAKES_COUNTER,Mistakes: ,Erros: ,Erros:
MASTER_SOUND,Master Volume,Volume Geral,Volume principal
BGM_SOUND,BGM Volume,Volume de Fundo,Volume da música musical
SFX_SOUND,SFX Volume,Volume de Efeitos Sonoros,Volume de efeitos sonoros
FULLSCREEN,Fullscreen,Tela Cheia,Tela cheia
SAVE_AND_EXIT,Save & Exit,Salvar & Sair,Saída segura
AQUARIUMS,Aquariums,Aquários,Aquários
SIZE,Size,Tam.,Tamanho
AMOUNT,Amount,Quant.,Quantia
BACK,Back,Voltar,Voltar
CONTINUE,Continue,Continuar,Continuar
CREATE_NEW_LEVEL,Create new level,Criar nível novo,Criar novo nível
YOUR_LEVELS,Your levels,Seus níveis,Seus níveis
PROFILE,Profile,Perfil,Perfil
CHANGE_PROFILE,Change Profile,Trocar Perfil,Mudar perfil
CONFIRM_DELETE_PROFILE,Are you sure you want to delete this profile?,Tem certeza que quer apagar este perfil?,Tem certeza de que deseja excluir este perfil?
CONFIRM_RESET_LEVEL,Are you sure you want to reset the level?,Tem certeza que quer resetar este nível?,Tem certeza de que deseja redefinir o nível?
CONFIRM_RESET_DAILY,Are you sure? Resetting a daily resets your streak and hides leaderboards.,Tem certeza? Resetar o nível do dia quebra sua sequência e esconde o ranking.,Tem certeza? Resetar o nível do dia quebra sua sequência e esconde o ranking.
LEVELS_COMPLETED,levels completed,níveis completados,níveis concluídos
WORKSHOP_BUTTON,Workshop levels,Níveis da Oficina,Níveis de oficina
WORKSHOP_TOOLTIP,User-created levels,Níveis criados por usuários,Níveis criados por usuários
WORKSHOP_LEVELS,Subscribed levels:,Níveis inscritos:,Níveis inscritos:
PLAY_LEVEL_TOOLTIP,Playtest level,Testar o nível,Nível de teste
EDIT_LEVEL_TOOLTIP,Edit level,Editar o nível,Editar nível
UPLOAD_LEVEL_TOOLTIP,Upload level to Steam Workshop,Subir o nível para a Oficina da Steam,Carregar nível para Steam Workshop
DELETE_LEVEL_TOOLTIP,"Delete level, can't be undone","Excluir o nível, não pode ser desfeito","Excluir nível, não pode ser desfeito"
NOT_INSTALLED,Not installed,Não instalado,Não instalado
COMPLETED_LEVEL,Completed,Completado,Completado
NOT_COMPLETED_LEVEL,Not Completed,Não Completado,Não Completado
BEST_TIME,Best Time:  %s,Melhor Tempo:  %s,Melhor Tempo:  %s
BEST_MISTAKES,Lowest Mistakes:  %s,Menor Erros:  %s,Menor Erros:  %s
RANDOM_BUTTON,Explorer mode,Modo explorador,Modo explorador
RANDOM_TOOLTIP,Random levels,Níveis aleatórios,Níveis aleatórios
RANDOM_TITLE,Explorer mode,Modo explorador,Modo explorador
EASY_BUTTON,Easy,Fácil,Fácil
MEDIUM_BUTTON,Medium,Médio,Médio
HARD_BUTTON,Hard,Difícil,Difícil
EXPERT_BUTTON,Expert,Expert,Expert
INSANE_BUTTON,Insane,Insano,Insano
CONTINUE_RANDOM_BUTTON,Continue existing,Continuar existente,Continuar existente
RANDOM_COMPLETED,Levels completed:,Níveis completados:,Níveis concluídos:
CONFIRM_NEW_RANDOM,Are you sure you want to start a new level? The existing one will be lost.,Tem certeza que quer começar um novo nível? O existente será perdido.,Tem certeza de que deseja iniciar um novo nível?  O existente será perdido.
UNIQUE_SOLUTION_DESCRIPTION,All levels have a unique solution.,Todos níveis tem uma única solução.,Todos os níveis têm uma solução única.
PLAYTEST,Playtest level,Testar nível,Nível de teste
LEVEL_DESCRIPTION_PLACEHOLDER,Level description,Descrição do nível,Descrição do nível
LEVEL_TITLE_PLACEHOLDER,Level title,Título do nivel,Título do nível
EASY_TOOLTIP,Small and simple levels,Níveis pequenos e simples,Níveis pequenos e simples
MEDIUM_TOOLTIP,Uses {N} and -N- hints,Usa dicas {N} e -N-,Usa dicas {N} e -N-
MEDIUM_TOOLTIP_DISABLED,Unlock section 2 to access this difficulty,Desbloqueie a seção 2 para acessar essa dificuldade,Desbloqueie a seção 2 para acessar essa dificuldade
HARD_TOOLTIP,Uses diagonals and boats,Usa diagonais e barcos,Usa diagonais e barcos
HARD_TOOLTIP_DISABLED,Unlock section 4 to access this difficulty,Desbloqueie a seção 4 para acessar essa dificuldade,Desbloqueie a seção 4 para acessar essa dificuldade
EXPERT_TOOLTIP,May use any rules found in the campaign,Pode usar quaisquer regras encontradas na campanha,Pode usar quaisquer regras encontradas na campanha
EXPERT_TOOLTIP_DISABLED,Unlock section 5 to access this difficulty,Desbloqueie a seção 5 para acessar essa dificuldade,Desbloqueie a seção 5 para acessar essa dificuldade
INSANE_TOOLTIP,Are you sure you want to try this?,Tem certeza que quer tentar isso?,Tem certeza de que deseja tentar isso?
INSANE_TOOLTIP_DISABLED,Complete ALL levels to unlock this difficulty,Complete TODOS os níveis para acessar essa dificuldade,Complete TODOS os níveis para acessar essa dificuldade
GENERATING_LEVEL,Generating level,Gerando nível,Gerando nível
